instruction,original,opcode,mnemonic,operand_count,has_vector_reg,has_memory,has_immediate,has_masking,register_width,memory_width,prefix_type
CMOVNE r32,CMOVNE r/m32,,CMOVNE,1,0,0,0,0,64,0,NONE
CMOVNE m32,CMOVNE r/m32,,CMOVNE,1,0,1,0,0,0,32,NONE
CMOVNE r64,CMOVNE r/m64,,CMOVNE,1,0,0,0,0,64,0,NONE
CMOVNE m64,CMOVNE r/m64,,CMOVNE,1,0,1,0,0,0,64,NONE
CMOVNE r16,CMOVNE r16,,CMOVNE,1,0,0,0,0,64,0,NONE
CMOVNE r32,CMOVNE r32,,CMOVNE,1,0,0,0,0,64,0,NONE
CMOVNE r64,CMOVNE r64,,CMOVNE,1,0,0,0,0,64,0,NONE
CMOVNG r16,CMOVNG r/m16,,CMOVNG,1,0,0,0,0,64,0,NONE
CMOVNG m16,CMOVNG r/m16,,CMOVNG,1,0,1,0,0,16,16,NONE
CMOVNG r32,CMOVNG r/m32,,CMOVNG,1,0,0,0,0,64,0,NONE
CMOVNG m32,CMOVNG r/m32,,CMOVNG,1,0,1,0,0,0,32,NONE
CMOVNG r64,CMOVNG r/m64,,CMOVNG,1,0,0,0,0,64,0,NONE
CMOVNG m64,CMOVNG r/m64,,CMOVNG,1,0,1,0,0,0,64,NONE
CMOVNG r16,CMOVNG r16,,CMOVNG,1,0,0,0,0,64,0,NONE
CMOVNG r32,CMOVNG r32,,CMOVNG,1,0,0,0,0,64,0,NONE
CMOVNG r64,CMOVNG r64,,CMOVNG,1,0,0,0,0,64,0,NONE
CMOVNGE r16,CMOVNGE r/m16,,CMOVNGE,1,0,0,0,0,64,0,NONE
